date,miles
2021-08-26,0.0
2021-08-27,0.0
2021-08-28,2.81481063
2021-08-29,0.0
2021-08-30,0.0
2021-08-31,4.01405666
2021-09-01,0.0
2021-09-02,8.81725449
2021-09-03,0.0
2021-09-04,0.0
2021-09-05,0.0
2021-09-06,0.0
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,0.0
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,6.3939075899999995
2021-09-16,0.0
2021-09-17,3.85871391
2021-09-18,0.0
2021-09-19,5.0952421999999995
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,5.51156077
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,9.00366579
2021-09-30,8.22695204
2021-10-01,0.0
2021-10-02,3.0012219300000003
2021-10-03,0.0
2021-10-04,6.99663746
2021-10-05,6.331770489999999
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,4.38687926
2021-10-09,11.066617509999999
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,7.00285117
2021-10-13,0.0
2021-10-14,4.007842950000001
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,12.65111356
2021-10-18,0.0
2021-10-19,5.77253659
2021-10-20,0.0
2021-10-21,6.0086575700000004
2021-10-22,5.80360514
2021-10-23,8.04675445
2021-10-24,0.0
2021-10-25,5.8595285299999995
2021-10-26,5.59855271
2021-10-27,1.18681861
2021-10-28,6.176427739999999
2021-10-29,3.8027905200000003
2021-10-30,0.0
2021-10-31,9.42619807
2021-11-01,0.0
2021-11-02,5.72904062
2021-11-03,8.50656899
2021-11-04,0.0
2021-11-05,5.53641561
2021-11-06,11.02933525
2021-11-07,4.007842950000001
2021-11-08,0.0
2021-11-09,8.64327061
2021-11-10,4.43658894
2021-11-11,6.41254872
2021-11-12,0.0
2021-11-13,12.07323853
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,3.49831873
2021-11-17,7.785778629999999
2021-11-18,0.0
2021-11-19,7.68635927
2021-11-20,3.06335903
2021-11-21,14.11133541
2021-11-22,0.0
2021-11-23,6.331770489999999
2021-11-24,5.374859150000001
2021-11-25,4.87154864
2021-11-26,0.0
2021-11-27,3.8152179399999997
2021-11-28,14.07405315
2021-11-29,6.0148712799999995
2021-11-30,5.38107286
2021-12-01,0.0
2021-12-02,9.28949645
2021-12-03,0.0
2021-12-04,9.02852063
2021-12-05,4.2563913499999995
2021-12-06,0.0
2021-12-07,6.0086575700000004
2021-12-08,0.0
2021-12-09,4.73484702
2021-12-10,5.02067768
2021-12-11,3.5045324399999997
2021-12-12,16.025158089999998
2021-12-13,0.0
2021-12-14,5.41214141
2021-12-15,4.23153651
2021-12-16,0.0
2021-12-17,5.002036550000001
2021-12-18,5.051746230000001
2021-12-19,10.01028681
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,7.2265447300000005
2021-12-23,6.2758471
2021-12-24,6.44361727
2021-12-25,4.49872604
2021-12-26,16.17428713
2021-12-27,0.0
2021-12-28,5.54884303
2021-12-29,0.0
2021-12-30,5.29408092
2021-12-31,0.0
